Key,English,Russian
Skins.0.Head,Simple hairs,Обычные волосы
Skins.0.Body,Green shirt,Зеленая рубашка
Skins.0.Leg,Brown pants,Коричневые брюки
Skins.1.Head,Mangaka hairs,Волосы мангака
Skins.1.Body,Mangaka jacket,Куртка мангака
Skins.1.Leg,Mangaka pants,Штаны мангака
Skins.2.Head,Detective hat,Шляпа детектива
Skins.2.Body,Detective jacket,Пиджак детектива
Skins.2.Leg,Detective pants,Брюки детектива
Skins.3.Head,Biker hairs,Прическа байкера
Skins.3.Body,Biker jacket,Куртка байкера
Skins.3.Leg,Biker pants,Штаны байкера
Skins.4.Head,Cowboy hat,Шляпа ковбоя
Skins.4.Body,Cowboy jacket,Куртка ковбоя
Skins.4.Leg,Cowboy pants,Брюки ковбоя
